observed_on,season_start,latitude,longitude,phenophase,t_base,gdd_cumulative,species
2025-08-23,2025-05-26,42.1455898883,19.0568425879,fruiting,5,1684.4207305908185,Ailanthus_altissima
2025-08-07,2025-05-26,40.98368,-79.5444,fruiting,5,1221.1300415039068,Ailanthus_altissima
2025-08-22,2025-05-26,45.7919960997,3.1605425997,fruiting,5,1372.7146057128907,Ailanthus_altissima
2025-08-22,2025-05-26,45.7919960997,3.1605425997,fruiting,5,1372.7146057128907,Ailanthus_altissima
2025-08-22,2025-05-26,42.2833614796,-71.8291768804,fruiting,5,1487.7772583007804,Ailanthus_altissima
2025-08-21,2025-05-26,31.7599861111,35.1775111111,fruiting,5,1852.1823013305643,Ailanthus_altissima
2025-08-08,2025-05-26,46.213685439,-119.0132369768,fruiting,5,1592.4823837280264,Ailanthus_altissima
2025-08-19,2025-05-26,40.6332611111,-74.4451194444,fruiting,5,1614.6802383422837,Ailanthus_altissima
2025-08-21,2025-05-26,42.5657424927,-71.3029937744,fruiting,5,1504.0021942138665,Ailanthus_altissima
2025-08-20,2025-05-26,43.175469538,-77.5274612538,fruiting,5,1460.091136169433,Ailanthus_altissima
2025-08-17,2025-05-26,42.6087604709,-70.6629757124,fruiting,5,,Ailanthus_altissima
2025-08-18,2025-05-26,41.4883293831,-73.9529997765,fruiting,5,1450.4103317260738,Ailanthus_altissima
2025-08-18,2025-05-26,42.8229279722,-70.8266359722,fruiting,5,1367.8061599731443,Ailanthus_altissima
2025-08-16,2025-05-26,44.8379536597,-0.6352694705,fruiting,5,1493.8033493041985,Ailanthus_altissima
2025-08-17,2025-05-26,46.3532608654,17.7847477142,flowering,5,1452.5878585815422,Ailanthus_altissima
2025-08-16,2025-05-26,45.7981864997,3.1199002,fruiting,5,1227.2777374267584,Ailanthus_altissima
2025-08-16,2025-05-26,40.8807137702,-73.903217297,fruiting,5,1543.9723861694324,Ailanthus_altissima
2025-08-16,2025-05-26,41.1150297476,20.7955349609,fruiting,5,1430.5285156249993,Ailanthus_altissima
2025-08-14,2025-05-26,41.2732302491,-101.8159978186,fruiting,5,1456.8976837158198,Ailanthus_altissima
2025-08-14,2025-05-26,49.2033569997,-123.9771042997,fruiting,5,1019.937677001955,Ailanthus_altissima
2025-08-01,2025-05-26,42.32651121,-70.99021649,fruiting,5,1117.7873199462902,Ailanthus_altissima
2025-08-12,2025-05-26,41.483604921,-81.8307048275,fruiting,5,1432.2637771606442,Ailanthus_altissima
2025-08-12,2025-05-26,41.4838800907,-81.8307406473,fruiting,5,1432.2637771606442,Ailanthus_altissima
2025-08-12,2025-05-26,40.0368199875,18.4616909176,fruiting,5,,Ailanthus_altissima
2025-08-10,2025-05-26,41.6561914133,1.4209765127,fruiting,5,1416.8860351562494,Ailanthus_altissima
2025-08-04,2025-05-26,41.3464700164,-72.0528650656,fruiting,5,,Ailanthus_altissima
2025-08-11,2025-05-26,48.07253948,16.5367717668,fruiting,5,1259.8624847412111,Ailanthus_altissima
2025-08-10,2025-05-26,41.7293656497,45.8146180584,fruiting,5,1315.18250579834,Ailanthus_altissima
2025-08-10,2025-05-26,42.4645383333,-71.1197361667,fruiting,5,1273.224925231934,Ailanthus_altissima
2025-08-10,2025-05-26,45.9080941731,8.5187552757,fruiting,5,1122.2342559814465,Ailanthus_altissima
2025-07-26,2025-05-26,41.7589211,13.9912945,fruiting,5,781.6469451904311,Ailanthus_altissima
2025-08-10,2025-05-26,38.7014067779,-9.1995112225,fruiting,5,1304.4318191528323,Ailanthus_altissima
2025-08-10,2025-05-26,48.8217608007,8.2904361561,fruiting,5,1090.829592895509,Ailanthus_altissima
2025-08-10,2025-05-26,36.7837206315,127.2785554798,fruiting,5,1550.3634292602533,Ailanthus_altissima
2025-08-09,2025-05-26,43.1814752386,-77.5093725734,fruiting,5,1252.2997375488285,Ailanthus_altissima
2025-08-09,2025-05-26,38.07007366,-84.47443756,fruiting,5,1464.0456558227534,Ailanthus_altissima
2025-08-09,2025-05-26,38.070108153,-84.4744680696,fruiting,5,1464.0456558227534,Ailanthus_altissima
2025-08-09,2025-05-26,41.7656889868,-91.8777323796,fruiting,5,1398.3173767089838,Ailanthus_altissima
2025-07-18,2025-05-26,36.0943361667,-80.2527083333,fruiting,5,1092.2178634643565,Ailanthus_altissima
2025-08-08,2025-05-26,39.7848239962,-84.059928952,fruiting,5,1395.3265609741206,Ailanthus_altissima
2025-08-07,2025-05-26,43.1932934989,-77.5134121955,fruiting,5,1211.527075195313,Ailanthus_altissima
2025-08-07,2025-05-26,42.3992910795,-71.0872615222,flowering,5,1240.9627670288091,Ailanthus_altissima
2025-08-07,2025-05-26,40.5829208513,-105.0673932903,fruiting,5,1139.9173110961924,Ailanthus_altissima
2025-08-07,2025-05-26,40.5808896975,-105.0718150356,fruiting,5,1139.9173110961924,Ailanthus_altissima
2025-07-28,2025-05-26,40.6515116667,-122.583,fruiting,5,1245.3211349487306,Ailanthus_altissima
2025-08-06,2025-05-26,42.8193687892,-70.934239099,fruiting,5,1181.4746139526374,Ailanthus_altissima
2025-08-06,2025-05-26,45.49343252,-122.6340313,fruiting,5,1130.4790618896495,Ailanthus_altissima
