State_Name,Crop_Year,Season,Crop,Area,Production,Yeild,Rainfall
andhra pradesh,2005,kharif,Rice,25008.0,69972.0,2.797984644913628,581.1
andhra pradesh,2005,kharif,Small millets,854.0,455.0,0.5327868852459017,581.1
andhra pradesh,2005,kharif,Soyabean,421.0,232.0,0.5510688836104513,581.1
andhra pradesh,2005,kharif,Urad,69.0,24.0,0.34782608695652173,581.1
andhra pradesh,2005,rabi,Bajra,66.0,125.0,1.893939393939394,444.8
andhra pradesh,2005,rabi,Dry chillies,58.0,214.0,3.689655172413793,444.8
andhra pradesh,2005,rabi,Gram,49105.0,48172.0,0.980999898177375,444.8
andhra pradesh,2005,rabi,Groundnut,22006.0,29752.0,1.3519949104789604,444.8
andhra pradesh,2005,rabi,Horse-gram,205.0,77.0,0.375609756097561,444.8
andhra pradesh,2005,rabi,Jowar,12931.0,9970.0,0.7710153893743716,444.8
andhra pradesh,2005,rabi,Linseed,29.0,11.0,0.3793103448275862,444.8
andhra pradesh,2005,rabi,Maize,1435.0,10721.0,7.471080139372822,444.8
andhra pradesh,2005,rabi,Moong(Green Gram),16.0,5.0,0.3125,444.8
andhra pradesh,2005,rabi,Onion,381.0,9063.0,23.787401574803148,444.8
andhra pradesh,2005,rabi,Ragi,472.0,752.0,1.5932203389830508,444.8
andhra pradesh,2005,rabi,Rice,23142.0,55587.0,2.401996370235935,444.8
andhra pradesh,2005,rabi,Safflower,162.0,33.0,0.2037037037037037,444.8
andhra pradesh,2005,rabi,Urad,11.0,7.0,0.6363636363636364,444.8
andhra pradesh,2005,rabi,Wheat,297.0,175.0,0.5892255892255892,444.8
andhra pradesh,2005,whole year,Arecanut,268.0,214.0,0.7985074626865671,1144.0
andhra pradesh,2005,whole year,Banana,303.0,16231.0,53.56765676567657,1144.0
andhra pradesh,2005,whole year,Coconut ,836.0,3358992.0,4017.933014354067,1144.0
andhra pradesh,2005,whole year,Coriander,2962.0,900.0,0.3038487508440243,1144.0
andhra pradesh,2005,whole year,Sugarcane,227.0,20612.0,90.80176211453744,1144.0
andhra pradesh,2005,whole year,Sunflower,48677.0,8401.0,0.1725866425621957,1144.0
andhra pradesh,2005,whole year,Sweet potato,23.0,121.0,5.260869565217392,1144.0
andhra pradesh,2005,whole year,Tobacco,1.0,1.0,1.0,1144.0
andhra pradesh,2005,whole year,Turmeric,2.0,15.0,7.5,1144.0
andhra pradesh,2006,kharif,Arhar/Tur,26244.0,3543.0,0.13500228623685415,554.15
andhra pradesh,2006,kharif,Bajra,620.0,189.0,0.30483870967741933,554.15
andhra pradesh,2006,kharif,Castor seed,899.0,451.0,0.5016685205784205,554.15
andhra pradesh,2006,kharif,Cotton(lint),1506.0,1940.0,1.2881806108897742,554.15
andhra pradesh,2006,kharif,Dry chillies,1754.0,5658.0,3.225769669327252,554.15
andhra pradesh,2006,kharif,Groundnut,644007.0,43148.0,0.06699927174704623,554.15
andhra pradesh,2006,kharif,Horse-gram,1021.0,182.0,0.178256611165524,554.15
andhra pradesh,2006,kharif,Jowar,18043.0,7813.0,0.4330211162223577,554.15
andhra pradesh,2006,kharif,Maize,4877.0,20181.0,4.137994668853803,554.15
andhra pradesh,2006,kharif,Moong(Green Gram),788.0,98.0,0.12436548223350254,554.15
andhra pradesh,2006,kharif,Onion,869.0,9423.0,10.843498273878021,554.15
andhra pradesh,2006,kharif,Ragi,2035.0,3696.0,1.8162162162162163,554.15
andhra pradesh,2006,kharif,Rice,22349.0,67427.0,3.0170029978969977,554.15
andhra pradesh,2006,kharif,Small millets,450.0,48.0,0.10666666666666667,554.15
andhra pradesh,2006,kharif,Urad,69.0,26.0,0.37681159420289856,554.15
andhra pradesh,2006,rabi,Bajra,141.0,43.0,0.3049645390070922,213.85
andhra pradesh,2006,rabi,Dry chillies,10.0,37.0,3.7,213.85
andhra pradesh,2006,rabi,Gram,83533.0,30739.0,0.36798630481366645,213.85
andhra pradesh,2006,rabi,Groundnut,18104.0,18991.0,1.048994697304463,213.85
andhra pradesh,2006,rabi,Horse-gram,1779.0,882.0,0.4957841483979764,213.85
andhra pradesh,2006,rabi,Jowar,24944.0,15440.0,0.618986529826812,213.85
andhra pradesh,2006,rabi,Linseed,15.0,4.0,0.26666666666666666,213.85
andhra pradesh,2006,rabi,Maize,3120.0,23640.0,7.576923076923077,213.85
andhra pradesh,2006,rabi,Moong(Green Gram),139.0,52.0,0.37410071942446044,213.85
andhra pradesh,2006,rabi,Onion,167.0,4075.0,24.40119760479042,213.85
andhra pradesh,2006,rabi,Ragi,386.0,532.0,1.378238341968912,213.85
andhra pradesh,2006,rabi,Rice,10846.0,31974.0,2.9479992624008853,213.85
andhra pradesh,2006,rabi,Safflower,72.0,28.0,0.3888888888888889,213.85
